TrainOrigin,TrainDestination,scheduled_hour,day_of_week,delay_minutes,scheduled_minute
Dublin Connolly,Maynooth,12,5,0.5,47
Dublin Connolly,Sligo,15,5,0.5,5
Dublin Connolly,Sligo,13,5,0.8,5
Dublin Connolly,Maynooth,12,5,0.7,17
Dublin Connolly,Rosslare Europort,13,4,1.0,28
Malahide,Bray,21,4,1.7,30
Malahide,Bray,22,4,-0.1,0
Dublin Connolly,Sligo,16,4,1.8,2
Dublin Connolly,Maynooth,12,4,0.4,17
Dublin Connolly,Sligo,15,4,1.0,5
Dublin Connolly,Sligo,13,4,0.8,5
Dublin Connolly,Maynooth,11,4,0.3,50
Dublin Connolly,Rosslare Europort,13,3,1.2,28
Malahide,Bray,21,3,-0.7,30
Malahide,Bray,22,3,0.5,0
Dublin Connolly,Sligo,16,3,2.8,2
Dublin Connolly,Maynooth,12,3,0.4,17
Dublin Connolly,Sligo,15,3,1.3,5
Dublin Connolly,Sligo,13,3,2.0,5
Dublin Connolly,Maynooth,11,3,0.8,50
Dublin Connolly,Rosslare Europort,13,2,11.4,28
Malahide,Bray,21,2,0.2,30
Malahide,Bray,22,2,0.0,0
Dublin Connolly,Sligo,16,2,3.0,2
Dublin Connolly,Maynooth,12,2,0.2,17
Dublin Connolly,Sligo,15,2,4.0,5
Dublin Connolly,Sligo,13,2,1.0,5
Dublin Connolly,Maynooth,11,2,0.4,50
Dublin Connolly,Rosslare Europort,13,1,2.2,28
Malahide,Bray,21,1,0.2,30
Malahide,Bray,22,1,0.3,0
Dublin Connolly,Sligo,16,1,4.3,2
Dublin Connolly,Maynooth,12,1,0.3,17
Dublin Connolly,Sligo,15,1,1.6,5
Dublin Connolly,Sligo,13,1,1.0,5
Dublin Connolly,Maynooth,11,1,0.4,50
Dublin Connolly,Rosslare Europort,13,0,0.6,28
Malahide,Bray,21,0,0.4,30
Malahide,Bray,22,0,0.6,0
Dublin Connolly,Sligo,16,0,1.0,2
Dublin Connolly,Maynooth,12,0,0.5,17
Dublin Connolly,Sligo,15,0,1.1,5
Dublin Connolly,Sligo,13,0,3.2,5
Dublin Connolly,Maynooth,11,0,0.4,50
Dublin Connolly,Rosslare Europort,13,6,0.7,45
Dublin Connolly,Sligo,16,6,3.4,5
Dublin Connolly,Maynooth,15,6,0.7,47
Dublin Connolly,Sligo,15,6,0.7,5
Dublin Connolly,Sligo,13,6,1.8,5
Dublin Connolly,Maynooth,15,6,0.6,17
Dublin Connolly,Rosslare Europort,13,5,0.5,55
Dublin Connolly,Sligo,16,5,0.6,5
Dublin Connolly,Maynooth,12,5,0.3,47
Dublin Connolly,Sligo,15,5,2.8,5
Dublin Connolly,Sligo,13,5,1.3,5
Dublin Connolly,Maynooth,12,5,0.6,17
Dublin Connolly,Rosslare Europort,13,4,5.7,28
Malahide,Bray,21,4,1.9,30
Malahide,Bray,22,4,2.3,0
Dublin Connolly,Sligo,16,4,3.1,2
Dublin Connolly,Maynooth,12,4,0.8,17
Dublin Connolly,Sligo,15,4,1.9,5
Dublin Connolly,Sligo,13,4,1.3,5
Dublin Connolly,Maynooth,11,4,0.9,50
Dublin Connolly,Rosslare Europort,13,3,0.7,28
Malahide,Bray,21,3,0.2,30
Malahide,Bray,22,3,0.2,0
Dublin Connolly,Sligo,16,3,3.9,2
Dublin Connolly,Maynooth,12,3,0.4,17
Dublin Connolly,Sligo,15,3,1.0,5
Dublin Connolly,Sligo,13,3,1.3,5
Dublin Connolly,Maynooth,11,3,0.6,50
Dublin Connolly,Rosslare Europort,13,2,1.4,28
Malahide,Bray,21,2,0.2,30
Malahide,Bray,22,2,2.9,0
Dublin Connolly,Sligo,16,2,1.0,2
Dublin Connolly,Maynooth,12,2,0.7,17
Dublin Connolly,Sligo,15,2,2.7,5
Dublin Connolly,Sligo,13,2,2.2,5
Dublin Connolly,Maynooth,11,2,0.7,50
Dublin Connolly,Rosslare Europort,13,1,2.6,28
Malahide,Bray,21,1,0.5,30
Malahide,Bray,22,1,0.6,0
Dublin Connolly,Sligo,16,1,2.4,2
Dublin Connolly,Maynooth,12,1,0.6,17
Dublin Connolly,Sligo,15,1,3.3,5
Dublin Connolly,Sligo,13,1,1.8,5
Dublin Connolly,Maynooth,11,1,0.9,50
Dublin Connolly,Rosslare Europort,13,0,2.4,28
Malahide,Bray,21,0,0.3,30
Malahide,Bray,22,0,3.3,0
Dublin Connolly,Sligo,16,0,1.3,2
Dublin Connolly,Maynooth,12,0,0.5,17
Dublin Connolly,Sligo,15,0,0.5,5
Dublin Connolly,Sligo,13,0,2.2,5
Dublin Connolly,Maynooth,11,0,0.7,50
Dublin Connolly,Rosslare Europort,13,6,5.2,45
Dublin Connolly,Sligo,16,6,0.7,5
Dublin Connolly,Maynooth,15,6,0.9,47
Dublin Connolly,Sligo,15,6,0.6,5
Dublin Connolly,Sligo,13,6,2.5,5
Dublin Connolly,Maynooth,15,6,0.3,17
Dublin Connolly,Rosslare Europort,13,5,0.5,55
Dublin Connolly,Sligo,16,5,2.1,5
Dublin Connolly,Maynooth,12,5,1.5,47
Dublin Connolly,Sligo,15,5,0.3,5
Dublin Connolly,Sligo,13,5,0.7,5
Dublin Connolly,Maynooth,12,5,0.8,17
Dublin Connolly,Rosslare Europort,13,4,3.1,28
Malahide,Bray,21,4,0.1,30
Malahide,Bray,22,4,1.0,0
Dublin Connolly,Sligo,16,4,2.7,2
Dublin Connolly,Maynooth,12,4,0.4,17
Dublin Connolly,Sligo,15,4,2.1,5
Dublin Connolly,Sligo,13,4,1.2,5
Dublin Connolly,Maynooth,11,4,0.7,50
